"day";"dau"
"28.01.2026";578
"29.01.2026";442
"30.01.2026";421
"31.01.2026";481
"01.02.2026";532
"02.02.2026";479
"03.02.2026";465
"04.02.2026";407
"05.02.2026";479
"06.02.2026";445
"07.02.2026";371
"08.02.2026";413
"09.02.2026";278
"10.02.2026";293
"11.02.2026";314
"12.02.2026";313
"13.02.2026";881
"14.02.2026";515
"15.02.2026";404
"16.02.2026";184
"17.02.2026";42
"18.02.2026";43
"19.02.2026";39
"20.02.2026";31
"21.02.2026";25
"22.02.2026";344
"23.02.2026";198
"24.02.2026";76
"25.02.2026";50
"26.02.2026";18
