"Дата";"Сумма";"Количество пользователей";"Количество покупок";"Количество генераций";"Количество бесплатных генераций";""
"05.12.2025";0;1;0;0;0;""
"06.12.2025";500;1;1;0;0;""
"09.12.2025";500;2;1;0;0;""
"10.12.2025";0;2;0;0;0;""
"11.12.2025";0;5;0;2;1;""
"12.12.2025";0;3;0;1;1;""
"15.12.2025";500;21;1;11;10;""
"16.12.2025";500;26;1;9;8;""
"17.12.2025";0;89;0;25;25;""
"18.12.2025";2500;114;3;83;80;""
"19.12.2025";1000;104;2;50;48;""
"20.12.2025";0;119;0;62;62;""
"21.12.2025";500;156;1;112;111;""
"22.12.2025";0;56;0;37;37;""
"23.12.2025";1500;11;1;14;12;""
"24.12.2025";1000;20;2;12;12;""
"25.12.2025";0;11;0;4;4;""
"26.12.2025";0;4;0;1;1;""
