"cohort_day";"cohort_size";"d1";"d1_percent";"d7";"d7_percent";"d30";"d30_percent"
"28.01.2026";362;26;7.18;2;0.55;0;0
"29.01.2026";339;16;4.72;6;1.77;0;0
"30.01.2026";338;16;4.73;0;0;0;0
"31.01.2026";401;11;2.74;3;0.75;0;0
"01.02.2026";481;27;5.61;3;0.62;0;0
"02.02.2026";409;29;7.09;4;0.98;0;0
"03.02.2026";384;27;7.03;0;0;0;0
"04.02.2026";332;15;4.52;4;1.2;0;0
"05.02.2026";412;17;4.13;3;0.73;0;0
"06.02.2026";381;19;4.99;15;3.94;0;0
"07.02.2026";293;21;7.17;3;1.02;0;0
"08.02.2026";334;14;4.19;0;0;0;0
"09.02.2026";216;11;5.09;2;0.93;0;0
"10.02.2026";218;9;4.13;1;0.46;0;0
"11.02.2026";243;11;4.53;1;0.41;0;0
"12.02.2026";250;32;12.8;1;0.4;0;0
"13.02.2026";346;26;7.51;1;0.29;0;0
"14.02.2026";362;24;6.63;1;0.28;0;0
"15.02.2026";291;17;5.84;23;7.9;0;0
"16.02.2026";96;2;2.08;6;6.25;0;0
"17.02.2026";4;0;0;0;0;0;0
"18.02.2026";1;0;0;0;0;0;0
"19.02.2026";6;0;0;0;0;0;0
"20.02.2026";1;0;0;0;0;0;0
"21.02.2026";3;0;0;0;0;0;0
"22.02.2026";5;0;0;0;0;0;0
"23.02.2026";6;0;0;0;0;0;0
"24.02.2026";2;0;0;0;0;0;0
"25.02.2026";3;0;0;0;0;0;0
