"day";"blocked_count";"unblocked_count"
"28.01.2026";318;27
"29.01.2026";186;19
"30.01.2026";172;15
"31.01.2026";177;29
"01.02.2026";214;25
"02.02.2026";177;14
"03.02.2026";173;20
"04.02.2026";160;22
"05.02.2026";179;20
"06.02.2026";175;21
"07.02.2026";161;24
"08.02.2026";177;20
"09.02.2026";124;14
"10.02.2026";117;16
"11.02.2026";141;20
"12.02.2026";126;20
"13.02.2026";584;22
"14.02.2026";215;35
"15.02.2026";152;17
"16.02.2026";85;8
"17.02.2026";22;2
"18.02.2026";27;3
"19.02.2026";26;3
"20.02.2026";18;3
"21.02.2026";11;0
"22.02.2026";206;0
"23.02.2026";103;5
"24.02.2026";45;0
"25.02.2026";32;1
"26.02.2026";10;0
