"event_name";"clicks"
"MAIN_PAGE_CLICK";10616
"CREATE_SONG_START_CLICK";10364
"CREATE_MANUAL_TEXT_CLICK";5550
"CREATE_SONG_NEURAL_NETWORK_CLICK";3243
"CREATE_SONG_MANUAL_FINISH_CLICK";2488
"MAIN_PAGE_FROM_NEURAL_NETWORK_CLICK";1788
"TARIFF_CLICK";1692
"MODIFY_STYLE_CLICK";1647
"CREATE_SONG_NEURAL_NETWORK_FINISH_CLICK";1297
"MODIFY_TEXT_CLICK";1151
"NEURAL_NETWORK_WARNING_CONTINUE_CLICK";643
"SELECTED_TARIFF_CLICK";500
"SUPPORT_CLICK";271
"MODIFY_MANUAL_STYLE_CLICK";232
"NEURAL_NETWORK_WARNING_EXIT_CLICK";213
"MAIN_PAGE_FROM_GENERATION_SUCCESS_CLICK";155
"MODIFY_MANUAL_TEXT_CLICK";119
"RETRY_GENERATION_CLICK";76
