"day";"Живые пользователи";"Всего пользователей";"Заблокированные пользователи"
"26.02.2026";6115;12616;6501
"25.02.2026";6125;12616;6491
"24.02.2026";6154;12614;6460
"23.02.2026";6197;12612;6415
"22.02.2026";6288;12606;6318
"21.02.2026";6541;12601;6060
"20.02.2026";6549;12598;6049
"19.02.2026";6563;12597;6034
"18.02.2026";6580;12591;6011
"17.02.2026";6603;12590;5987
"16.02.2026";6620;12586;5966
"15.02.2026";6601;12490;5889
"14.02.2026";6444;12199;5755
"13.02.2026";6262;11834;5572
"12.02.2026";6596;11490;4894
"11.02.2026";6456;11245;4789
"10.02.2026";6334;11002;4668
"09.02.2026";6215;10783;4568
"08.02.2026";6111;10568;4457
"07.02.2026";5935;10234;4299
"06.02.2026";5778;9942;4164
"05.02.2026";5550;9561;4011
"04.02.2026";5296;9147;3851
"03.02.2026";5101;8816;3715
"02.02.2026";4867;8430;3563
"01.02.2026";4623;8024;3401
"31.01.2026";4332;7544;3212
"30.01.2026";4080;7142;3062
"29.01.2026";3901;6807;2906
"28.01.2026";3727;6467;2740
