"Дата";"Новые пользователи";"Генерации";"Оплаты";"Баланс Suno"
"26.02.2026";0;2;2;7380.8
"25.02.2026";3;3;0;7404.8
"24.02.2026";2;7;3;7440.8
"23.02.2026";6;19;3;7524.8
"22.02.2026";5;24;11;7752.8
"21.02.2026";3;8;2;8040.8
"20.02.2026";1;5;4;8136.8
"19.02.2026";6;15;1;8196.8
"18.02.2026";1;2;1;8376.8
"17.02.2026";4;8;4;8400.8
"16.02.2026";96;65;10;8496.8
"15.02.2026";291;158;7;9276.8
"14.02.2026";362;201;22;11172.8
"13.02.2026";346;174;21;3644.8
"12.02.2026";250;95;5;5948.8
"11.02.2026";243;100;0;7604.8
"10.02.2026";218;83;4;9236.8
"09.02.2026";216;73;1;592.8
"08.02.2026";334;137;11;1864.8
"07.02.2026";293;110;1;4144.8
"06.02.2026";381;147;8;6004.8
"05.02.2026";412;169;5;8512.8
"04.02.2026";332;178;11;1296.8
"03.02.2026";384;191;10;3900.8
"02.02.2026";409;208;17;6660.8
"01.02.2026";481;235;3;9516.8
"31.01.2026";401;189;1;2996.8
"30.01.2026";338;147;6;5816.8
"29.01.2026";339;169;13;8204.8
"28.01.2026";362;173;5;10712.8
